,scenario,specie,mean_max_forcing,max_forcing_std,min_year,max_year,year_range,cv_at_maxforcing_year,cv_300,cv_350,cv_400
0,ssp119,Aerosol-cloud interactions,0.2940679670021591,0.3082971658241974,1998,2251,253,0.5730410091308169,0.4647866814789877,1.0758888471293817,1.765640629844124
1,ssp119,Aerosol-radiation interactions,0.012966757257359648,0.036588548173798655,1750,2300,550,0.09887995604008645,0.08301390032473069,0.6296428103639788,0.1092434157615557
2,ssp119,BC,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
3,ssp119,C2F6,0.0014369686685797496,0.00016132038778434674,2098,2098,0,0.343588362145652,0.061688667397703865,0.18618078680506947,0.26701487951877345
4,ssp119,C3F8,0.00022400971900852836,2.5148310835221773e-05,2085,2085,0,0.4092355696605304,0.08179636099903961,0.23632261982088468,0.33259318782669145
5,ssp119,C4F10,7.890976338543219e-05,8.858755175149787e-06,2076,2076,0,0.3155880960773648,0.05783486208093365,0.17732400078404412,0.25660771897184004
6,ssp119,C5F12,5.523530627221552e-05,6.200957071686103e-06,2073,2073,0,0.20955133715072052,0.034524665389697846,0.11210539519520536,0.16705465935363592
7,ssp119,C6F14,0.0001696523672907128,1.9045916781832255e-05,2088,2088,0,0.4005108559549618,0.07867656309622509,0.22875441071226085,0.32276604836856926
8,ssp119,C7F16,9.389404961837461e-05,1.0540956686306654e-05,2090,2090,0,0.44165843049341774,0.09081218670271578,0.256586923523214,0.3574626648508005
9,ssp119,C8F18,6.199738235055647e-05,6.960097308378522e-06,2081,2081,0,0.3334382134682264,0.06150480424273628,0.18660066080533835,0.26859959217303614
10,ssp119,CCl4,0.01901566838398282,0.0021347821039929657,1990,1990,0,0.0,7.42176062111889e-17,8.428102213628854e-17,7.878117795551691e-17
11,ssp119,CF4,0.006716978922195445,0.0007540774326964489,2245,2245,0,0.24766656162350437,0.05641957132201857,0.14193125104854115,0.19499231676023657
12,ssp119,CFC-11,0.07557394884704882,0.008484262044801632,1992,1992,0,0.0,5.994277338129498e-17,6.684948242589895e-17,8.401293203099077e-17
13,ssp119,CFC-113,0.024052784198344324,0.0027002707567766056,1995,1995,0,0.0,8.204338106211561e-17,2.9354149016974754e-16,3.0984859237403874e-16
14,ssp119,CFC-114,0.004964309967290641,0.0005573151499514255,2002,2002,0,0.0,6.082713079651369e-17,8.249724137256029e-17,5.574861792499782e-17
15,ssp119,CFC-115,0.002148931386478977,0.00024124843649609684,2051,2051,0,0.0,5.74698808506742e-17,6.377707988124826e-17,7.76609916478437e-17
16,ssp119,CFC-12,0.18540562129616456,0.02081444597846154,2002,2002,0,0.0,7.09308607712542e-17,5.713533086457312e-17,7.545441571193821e-17
17,ssp119,CH2Cl2,0.0012250109694932304,0.00013752508941899654,2021,2021,0,0.3838987211410565,0.777512303672731,1.3320756326982557,1.5436369024740912
18,ssp119,CH3Br,1.5586901448892426e-05,1.7498537310329466e-06,1997,1997,0,0.0,0.7233539254362776,1.4754943838999675,0.18478385689279841
19,ssp119,CH3CCl3,0.008197816150049176,0.0009203226968182977,1991,1991,0,0.0,6.502564145799687e-17,6.774921296633812e-17,7.74037239190936e-17
20,ssp119,CH3Cl,0.0005396346682760711,6.0581748128311195e-05,2021,2021,0,0.08361504003091867,0.54595390910643,0.9795117604931567,0.13998855451200673
21,ssp119,CHCl3,0.0007752820703135388,8.703655616155145e-05,1989,1989,0,0.0,0.3835924257557038,0.47524459277899694,3.300175163208149
22,ssp119,CO,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
23,ssp119,CO2,2.2723643063169336,0.1699655496708937,2033,2042,9,0.6319576151149146,0.1434673042360214,0.48709634103485144,0.7511417936128904
24,ssp119,CO2 AFOLU,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
25,ssp119,CO2 FFI,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
26,ssp119,Equivalent effective stratospheric chlorine,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
27,ssp119,HCFC-141b,0.004306220707359878,0.00048343517126429647,2026,2026,0,0.0,5.669169599226614e-17,7.365628045564499e-17,6.239280588402992e-17
28,ssp119,HCFC-142b,0.004153612002692433,0.00046630265059455114,2018,2018,0,0.0,8.561183113070764e-17,6.96202165637639e-17,6.697366561222416e-17
29,ssp119,HCFC-22,0.0518995217944262,0.005826467316071708,2021,2021,0,0.0,8.001795399251827e-17,7.94145829991107e-17,6.454513260029232e-17
30,ssp119,HFC-125,0.016237987763135595,0.0018229475284075281,2029,2029,0,0.9423767096612827,0.5876708999941318,1.1783000405130097,1.3529011411104324
