,scenario,specie,mean_max_forcing,max_forcing_std,min_year,max_year,year_range,cv_at_maxforcing_year,cv_300,cv_350,cv_400
20,high-extension,CH3Cl,0.00046847974481736485,5.259358520164891e-05,1999,1999,0,0.0,0.8838143636317678,1.166592693078135,0.11415243430808268
21,high-extension,CHCl3,0.000412422742906246,4.6300380983586585e-05,1990,1990,0,0.0,0.9773574613420122,0.5240720919633217,2.3947187742773024
22,high-extension,CO,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
23,high-extension,CO2,9.139971181746077,1.7999066704834692,2175,2275,100,0.5133160143795251,0.09269289179362543,0.37223260233104977,0.5860924119754728
24,high-extension,CO2 AFOLU,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
25,high-extension,CO2 FFI,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
26,high-extension,Equivalent effective stratospheric chlorine,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
27,high-extension,HCFC-141b,0.003960414293553439,0.00044461343075362413,2023,2023,0,0.0,6.259721932700995e-17,9.386523185318607e-17,6.914206209053439e-17
28,high-extension,HCFC-142b,0.004350930962721088,0.0004884545400859814,2017,2017,0,0.0,6.467329763901065e-17,8.19503257870109e-17,9.051626319984419e-17
29,high-extension,HCFC-22,0.05401602758380894,0.006064075513213891,2024,2024,0,0.0,8.814685390910067e-17,8.858616703404291e-17,6.957482669128096e-17
30,high-extension,HFC-125,0.08222881459623085,0.009231366381023438,2120,2120,0,0.701342858309501,0.4812894437537826,0.7570913335577472,0.822737699635674
31,high-extension,HFC-134a,0.03223771771550153,0.003619147192880068,2111,2111,0,0.2188127537964515,0.48269085162938646,0.8066311723437566,0.848042099665849
32,high-extension,HFC-143a,0.05307682643048001,0.005958636683839634,2136,2136,0,0.7570136036401898,0.4250845901379287,0.7140476589775011,0.7949197236180555
33,high-extension,HFC-152a,0.000880633058644607,9.88637188983909e-05,2011,2011,0,0.0,0.7723192159693928,0.8217238819231002,0.8295889002130735
34,high-extension,HFC-227ea,0.0013421828611832058,0.00015067931846947022,2104,2104,0,0.34346022965291256,0.3622088182755909,0.6787329096257527,0.7920285237691725
35,high-extension,HFC-23,0.006234803943909879,0.0006999463606851045,2023,2023,0,0.0,0.0073813037649500465,0.009806724442157357,0.009806724442157412
36,high-extension,HFC-236fa,0.001001684252958421,0.00011245345542880769,2192,2192,0,0.7958527909367198,0.34424984183827156,0.631912725270764,0.7184932126248261
37,high-extension,HFC-245fa,0.0045964319208611935,0.0005160155514250344,2107,2107,0,0.616889311839562,0.6767069242497908,0.8069562321506037,0.8294445163532528
38,high-extension,HFC-32,0.002596341324326749,0.0002914766330116892,2017,2017,0,0.0,0.5141339334814887,0.824317827065665,0.8243178270656648
39,high-extension,HFC-365mfc,0.0004765893406662047,5.350400390159328e-05,2108,2108,0,0.26492005681644837,0.6099900870643119,0.8053150556985641,0.8293878787607202
40,high-extension,HFC-4310mee,0.00011110352105077869,1.24729672205259e-05,2027,2027,0,0.006832533672888721,0.3392465735370145,0.7645951781795033,0.8472194636982591
41,high-extension,Halon-1211,0.0013239894089321475,0.00014863684194478888,2006,2006,0,0.0,8.516447019354022e-17,7.413181186402018e-17,6.838705000256174e-17
42,high-extension,Halon-1301,0.0010685890352025084,0.00011996447891334279,2039,2039,0,0.0,6.923426459933391e-17,8.860587558617324e-17,7.95439817128015e-17
