,scenario,specie,max_forcing
126,ssp245,N2O,0.41636114024488197
127,ssp245,Sulfur,0.0
128,ssp245,BC,0.0
129,ssp245,OC,0.0
130,ssp245,NH3,0.0
131,ssp245,NOx,0.0
132,ssp245,VOC,0.0
133,ssp245,CO,0.0
134,ssp245,CFC-11,0.10874641590356278
135,ssp245,CFC-12,0.2667876578096605
136,ssp245,CFC-113,0.034610525372512996
137,ssp245,CFC-114,0.0071433466771702045
138,ssp245,CFC-115,0.003092184408349858
139,ssp245,HCFC-22,0.07468032395230677
140,ssp245,HCFC-141b,0.006196395387024639
141,ssp245,HCFC-142b,0.005976800540897741
142,ssp245,CCl4,0.027362415413199233
143,ssp245,CHCl3,0.0011155847715662035
144,ssp245,CH2Cl2,0.0018803103437996448
145,ssp245,CH3Cl,0.000670613624716873
146,ssp245,CH3CCl3,0.0117961696874994
147,ssp245,CH3Br,2.2428623797858934e-05
148,ssp245,Halon-1211,0.001787227331595694
149,ssp245,Halon-1301,0.001363176235044961
150,ssp245,Halon-2402,0.0002093076918959394
151,ssp245,CF4,0.014498499427060718
152,ssp245,C2F6,0.003515202255877574
153,ssp245,C3F8,0.000612072657188111
154,ssp245,c-C4F8,0.0018154341115333907
155,ssp245,C4F10,0.00018098100669183262
156,ssp245,C5F12,0.00010666472218150181
157,ssp245,C6F14,0.0004568651294401351
158,ssp245,C7F16,0.0002745261152338129
159,ssp245,C8F18,0.00014714671939924527
160,ssp245,NF3,0.001225735610351636
161,ssp245,SF6,0.015235639838348136
162,ssp245,SO2F2,0.0011601485533144708
163,ssp245,HFC-125,0.09536225514813823
164,ssp245,HFC-134a,0.03674792410256133
165,ssp245,HFC-143a,0.057550423573921525
166,ssp245,HFC-152a,0.0012400833383904499
167,ssp245,HFC-227ea,0.0015464214323500983
168,ssp245,HFC-23,0.00752757523447372
169,ssp245,HFC-236fa,0.0008871077620654889
170,ssp245,HFC-245fa,0.0038078488240913333
171,ssp245,HFC-32,0.0021953671793159715
172,ssp245,HFC-365mfc,0.0005506422336936002
173,ssp245,HFC-4310mee,0.00018091375671589973
174,ssp245,Solar,0.24319049655819902
175,ssp245,Volcanic,0.28137727172489746
176,ssp245,Aerosol-radiation interactions,0.3690762266221597
177,ssp245,Aerosol-cloud interactions,1.095096101718978
178,ssp245,Ozone,0.9971411895913632
179,ssp245,Light absorbing particles on snow and ice,0.3502329278723625
180,ssp245,Stratospheric water vapour,0.21558776438499944
181,ssp245,Land use,0.012143881340501119
182,ssp245,Equivalent effective stratospheric chlorine,0.0
183,ssp370,CO2 FFI,0.0
184,ssp370,CO2 AFOLU,0.0
185,ssp370,CO2,11.31227856064521
186,ssp370,CH4,1.4451331648956365
187,ssp370,N2O,0.8080639815245114
188,ssp370,Sulfur,0.0
189,ssp370,BC,0.0
190,ssp370,OC,0.0
191,ssp370,NH3,0.0
192,ssp370,NOx,0.0
193,ssp370,VOC,0.0
194,ssp370,CO,0.0
195,ssp370,CFC-11,0.10874641590356278
196,ssp370,CFC-12,0.2667876578096605
197,ssp370,CFC-113,0.034610525372512996
198,ssp370,CFC-114,0.0071433466771702045
199,ssp370,CFC-115,0.003092184408349858
200,ssp370,HCFC-22,0.07468032395230677
201,ssp370,HCFC-141b,0.006196395387024639
202,ssp370,HCFC-142b,0.005976800540897741
203,ssp370,CCl4,0.027362415413199233
204,ssp370,CHCl3,0.0011155847715662035
205,ssp370,CH2Cl2,0.0019846579269532957
206,ssp370,CH3Cl,0.0007936801469524704
207,ssp370,CH3CCl3,0.0117961696874994
208,ssp370,CH3Br,2.2428623797858934e-05
209,ssp370,Halon-1211,0.001787227331595694
210,ssp370,Halon-1301,0.001363176235044961
211,ssp370,Halon-2402,0.0002093076918959394
212,ssp370,CF4,0.016810991148679587
213,ssp370,C2F6,0.0027465195569892973
214,ssp370,C3F8,0.00045342108624702143
215,ssp370,c-C4F8,0.002180190921697397
216,ssp370,C4F10,0.0001432553146056207
217,ssp370,C5F12,9.136387872080902e-05
218,ssp370,C6F14,0.0003409481241137965
219,ssp370,C7F16,0.0001989371137204954
220,ssp370,C8F18,0.00011512748121095212
221,ssp370,NF3,0.004896771812172446
222,ssp370,SF6,0.0502846886732545
223,ssp370,SO2F2,0.001089787951268649
224,ssp370,HFC-125,0.15701383634559313
225,ssp370,HFC-134a,0.048624614582657634
226,ssp370,HFC-143a,0.09452046455062411
227,ssp370,HFC-152a,0.0011769457215815198
228,ssp370,HFC-227ea,0.002018389322058064
229,ssp370,HFC-23,0.0074874294318194165
230,ssp370,HFC-236fa,0.0014445277989494842
231,ssp370,HFC-245fa,0.006617098547551336
232,ssp370,HFC-32,0.0021872298144315003
233,ssp370,HFC-365mfc,0.000686307667717514
234,ssp370,HFC-4310mee,0.0001700163151374797
235,ssp370,Solar,0.24319049655819902
236,ssp370,Volcanic,0.28137727172489746
237,ssp370,Aerosol-radiation interactions,0.4153964128161968
238,ssp370,Aerosol-cloud interactions,0.3705594856780525
239,ssp370,Ozone,1.4136253986884126
240,ssp370,Light absorbing particles on snow and ice,0.4080283166897274
241,ssp370,Stratospheric water vapour,0.38864861393236916
242,ssp370,Land use,0.015978921551116916
